,Month,Scheduled Operator,Country to/from,Passengers In,Freight In,Mail In,Passengers Out,Freight Out,Mail Out,Year,Continentes,month_idx
0,2009-01-01,Aerolineas Argentinas,Argentina,3021.0,4.313,0.6,1959.0,8.311,0.0,2009,América do Sul,1
1,2009-01-01,Aerolineas Argentinas,New Zealand,627.0,76.26,0.0,1821.0,68.539,0.0,2009,Oceania,1
2,2009-01-01,Air Caledonie,New Caledonia,6658.0,4.918,0.645,5365.0,68.621,1.291,2009,Oceania,1
3,2009-01-01,Air Canada,Canada,7489.0,174.828,0.004,6424.0,105.191,0.016,2009,América do Norte,1
4,2009-01-01,Air China,China,12458.0,201.314,18.569,11163.0,142.408,2.93,2009,Asia,1
5,2009-01-01,Air Mauritius,Mauritius,4635.0,36.586,0.429,3782.0,80.174,0.004,2009,África,1
6,2009-01-01,Air New Zealand,Cook Islands,94.0,0.0,0.0,39.0,0.0,0.0,2009,Oceania,1
7,2009-01-01,Air New Zealand,Germany,0.0,1.136,0.0,0.0,0.0,0.0,2009,Europa,1
8,2009-01-01,Air New Zealand,New Zealand,109904.0,1811.254,197.664,100460.0,1385.565,8.268,2009,Oceania,1
9,2009-01-01,Air New Zealand,USA,0.0,164.046,0.0,0.0,0.0,0.0,2009,América do Norte,1
10,2009-01-01,Air Niugini,Papua New Guinea,6817.0,33.701,1.835,7459.0,226.424,10.376,2009,Oceania,1
11,2009-01-01,Air Pacific,Fiji,19539.0,184.517,0.264,13401.0,248.81,7.711,2009,Oceania,1
12,2009-01-01,Air Tahiti Nui,French Polynesia,1917.0,40.241,0.0,1964.0,54.943,0.0,2009,Oceania,1
13,2009-01-01,Air Vanuatu,Vanuatu,5212.0,12.364,0.0,4390.0,29.484,0.0,2009,Oceania,1
14,2009-01-01,AirAsia X,Malaysia,21143.0,106.524,0.0,17676.0,57.274,0.0,2009,Asia,1
15,2009-01-01,Airlines PNG,Papua New Guinea,500.0,0.713,0.019,598.0,4.014,0.018,2009,Oceania,1
16,2009-01-01,Airnorth,Indonesia,397.0,0.0,0.0,325.0,0.0,0.0,2009,Asia,1
17,2009-01-01,Asiana Airlines,"Korea, Republic of",8996.0,164.319,7.17,7684.0,74.99,0.0,2009,Asia,1
18,2009-01-01,British Airways,Singapore,2602.0,114.784,0.0,2064.0,156.193,0.0,2009,Asia,1
19,2009-01-01,British Airways,Thailand,4270.0,42.123,0.0,3990.0,61.431,0.0,2009,Asia,1
20,2009-01-01,British Airways,United Kingdom,9854.0,281.235,77.053,8899.0,101.171,0.0,2009,Europa,1
21,2009-01-01,Cargolux Airlines Intl,Luxembourg,0.0,65.05,0.0,0.0,0.0,0.0,2009,Europa,1
22,2009-01-01,Cargolux Airlines Intl,New Zealand,0.0,0.0,0.0,0.0,43.302,0.0,2009,Oceania,1
