,Month,Passengers In,Freight In,Passengers Out,Freight Out
0,2009-01-01,3021.0,4.313,1959.0,8.311
1,2009-01-01,627.0,76.26,1821.0,68.539
2,2009-01-01,6658.0,4.918,5365.0,68.621
3,2009-01-01,7489.0,174.828,6424.0,105.191
4,2009-01-01,12458.0,201.314,11163.0,142.408
5,2009-01-01,4635.0,36.586,3782.0,80.174
6,2009-01-01,94.0,0.0,39.0,0.0
7,2009-01-01,0.0,1.136,0.0,0.0
8,2009-01-01,109904.0,1811.254,100460.0,1385.565
9,2009-01-01,0.0,164.046,0.0,0.0
10,2009-01-01,6817.0,33.701,7459.0,226.424
11,2009-01-01,19539.0,184.517,13401.0,248.81
12,2009-01-01,1917.0,40.241,1964.0,54.943
13,2009-01-01,5212.0,12.364,4390.0,29.484
14,2009-01-01,21143.0,106.524,17676.0,57.274
15,2009-01-01,500.0,0.713,598.0,4.014
16,2009-01-01,397.0,0.0,325.0,0.0
17,2009-01-01,8996.0,164.319,7684.0,74.99
18,2009-01-01,2602.0,114.784,2064.0,156.193
19,2009-01-01,4270.0,42.123,3990.0,61.431
20,2009-01-01,9854.0,281.235,8899.0,101.171
21,2009-01-01,0.0,65.05,0.0,0.0
22,2009-01-01,0.0,0.0,0.0,43.302
23,2009-01-01,0.0,28.434,0.0,0.0
24,2009-01-01,0.0,0.0,0.0,36.274
25,2009-01-01,71949.0,2393.881,59968.0,3818.218
26,2009-01-01,9003.0,48.997,7596.0,25.802
27,2009-01-01,13224.0,90.618,9311.0,80.481
28,2009-01-01,8399.0,182.84,6431.0,9.68
29,2009-01-01,1128.0,0.293,1084.0,1.249
30,2009-01-01,28408.0,1376.306,19391.0,745.554
31,2009-01-01,1653.0,104.613,1161.0,453.011
32,2009-01-01,2499.0,0.932,914.0,0.0
33,2009-01-01,47921.0,960.074,44881.0,1503.076
34,2009-01-01,852.0,47.784,816.0,64.935
35,2009-01-01,16644.0,226.273,14554.0,427.113
36,2009-01-01,4817.0,69.225,3363.0,165.277
37,2009-01-01,0.0,0.0,0.0,251.305
38,2009-01-01,0.0,692.401,0.0,0.0
39,2009-01-01,24994.0,161.442,17474.0,106.534
40,2009-01-01,2607.0,2.044,1950.0,23.54
41,2009-01-01,19355.0,199.948,16434.0,158.994
42,2009-01-01,14771.0,175.62,12261.0,10.446
43,2009-01-01,21198.0,100.403,19116.0,117.448
44,2009-01-01,17054.0,47.119,16873.0,20.416
45,2009-01-01,13745.0,16.473,10829.0,4.562
46,2009-01-01,7186.0,93.489,6192.0,70.099
47,2009-01-01,5569.0,43.281,4149.0,52.902
